날짜,실거래가(평균),나스닥,다우존스,코스피,지가변동률,동행지수,소비자물가지수,생산자물가,거래량
2007년 12월 24일,492.7,2713.5,13549.33,1878.32,0.627,86,78.248,89.63,169
2007년 12월 26일,492.7,2724.4,13551.69,1919.47,0.627,86,78.248,89.63,169
2007년 12월 27일,492.7,2676.8,13359.61,1906.72,0.627,86,78.248,89.63,169
2007년 12월 28일,492.7,2674.5,13365.87,1908.62,0.627,86,78.248,89.63,169
2007년 12월 31일,492.7,2652.3,13264.82,1897.13,0.627,86,78.248,89.63,169
2008년 01월 02일,478.2,2609.6,13043.96,1853.45,0.532,86.1,78.69,90.13,189
2008년 01월 03일,478.2,2602.7,13056.72,1853.45,0.532,86.1,78.69,90.13,189
2008년 01월 04일,478.2,2504.6,12800.18,1853.45,0.532,86.1,78.69,90.13,189
2008년 01월 07일,478.2,2499.5,12827.49,1853.45,0.532,86.1,78.69,90.13,189
2008년 01월 08일,478.2,2440.5,12589.07,1853.45,0.532,86.1,78.69,90.13,189
2008년 01월 09일,478.2,2474.6,12735.31,1852.73,0.532,86.1,78.69,90.13,189
2008년 01월 10일,478.2,2488.5,12853.09,1863.9,0.532,86.1,78.69,90.13,189
2008년 01월 11일,478.2,2439.9,12606.3,1831.14,0.532,86.1,78.69,90.13,189
2008년 01월 14일,478.2,2478.3,12778.15,1826.23,0.532,86.1,78.69,90.13,189
2008년 01월 15일,478.2,2417.6,12501.11,1844.47,0.532,86.1,78.69,90.13,189
2008년 01월 16일,478.2,2394.6,12466.16,1824.78,0.532,86.1,78.69,90.13,189
2008년 01월 17일,478.2,2346.9,12159.21,1782.27,0.532,86.1,78.69,90.13,189
2008년 01월 18일,478.2,2340,12099.3,1765.88,0.532,86.1,78.69,90.13,189
2008년 01월 22일,478.2,2292.3,11971.19,1746.95,0.532,86.1,78.69,90.13,189
2008년 01월 23일,478.2,2316.4,12270.17,1704.97,0.532,86.1,78.69,90.13,189
2008년 01월 24일,478.2,2360.9,12378.61,1723.55,0.532,86.1,78.69,90.13,189
2008년 01월 25일,478.2,2326.2,12207.17,1734.72,0.532,86.1,78.69,90.13,189
2008년 01월 28일,478.2,2349.9,12383.89,1683.56,0.532,86.1,78.69,90.13,189
2008년 01월 29일,478.2,2358.1,12480.3,1609.02,0.532,86.1,78.69,90.13,189
2008년 01월 30일,478.2,2349,12442.83,1628.42,0.532,86.1,78.69,90.13,189
2008년 01월 31일,478.2,2389.9,12650.36,1663,0.532,86.1,78.69,90.13,189
2008년 02월 01일,486.6,2413.4,12743.19,1692.41,0.591,86.8,78.912,90.97,239
2008년 02월 04일,486.6,2382.9,12635.16,1627.19,0.591,86.8,78.912,90.97,239
2008년 02월 05일,486.6,2309.6,12265.13,1637.91,0.591,86.8,78.912,90.97,239
2008년 02월 06일,486.6,2278.8,12200.1,1589.06,0.591,86.8,78.912,90.97,239
2008년 02월 07일,486.6,2293,12247,1624.68,0.591,86.8,78.912,90.97,239
2008년 02월 08일,486.6,2304.9,12182.13,1634.53,0.591,86.8,78.912,90.97,239
2008년 02월 11일,486.6,2320.1,12240.01,1690.13,0.591,86.8,78.912,90.97,239
2008년 02월 12일,486.6,2320,12373.41,1696.57,0.591,86.8,78.912,90.97,239
2008년 02월 13일,486.6,2373.9,12552.24,1640.67,0.591,86.8,78.912,90.97,239
2008년 02월 14일,486.6,2332.5,12376.98,1643.29,0.591,86.8,78.912,90.97,239
2008년 02월 15일,486.6,2321.8,12348.21,1631.78,0.591,86.8,78.912,90.97,239
2008년 02월 19일,486.6,2306.2,12337.22,1697.45,0.591,86.8,78.912,90.97,239
2008년 02월 20일,486.6,2327.1,12427.26,1694.77,0.591,86.8,78.912,90.97,239
2008년 02월 21일,486.6,2299.8,12284.3,1696.24,0.591,86.8,78.912,90.97,239
2008년 02월 22일,486.6,2303.4,12381.02,1720.52,0.591,86.8,78.912,90.97,239
2008년 02월 25일,486.6,2327.5,12570.22,1687.91,0.591,86.8,78.912,90.97,239
2008년 02월 26일,486.6,2345,12684.92,1704.36,0.591,86.8,78.912,90.97,239
2008년 02월 27일,486.6,2353.8,12694.28,1686.45,0.591,86.8,78.912,90.97,239
2008년 02월 28일,486.6,2331.6,12582.18,1709.13,0.591,86.8,78.912,90.97,239
2008년 02월 29일,486.6,2271.5,12266.39,1709.13,0.591,86.8,78.912,90.97,239
2008년 03월 03일,502.5,2258.6,12258.9,1720.89,0.703,87.5,79.428,92.15,345
2008년 03월 04일,502.5,2260.3,12213.8,1736.17,0.703,87.5,79.428,92.15,345
2008년 03월 05일,502.5,2272.8,12254.99,1711.62,0.703,87.5,79.428,92.15,345
2008년 03월 06일,502.5,2220.5,12040.39,1671.73,0.703,87.5,79.428,92.15,345
2008년 03월 07일,502.5,2212.5,11893.69,1676.18,0.703,87.5,79.428,92.15,345
2008년 03월 10일,502.5,2169.3,11740.15,1677.1,0.703,87.5,79.428,92.15,345
2008년 03월 11일,502.5,2255.8,12156.81,1697.44,0.703,87.5,79.428,92.15,345
